source,version,generation_slot,completion_slot,delay,completed
1,1,0,106,106,True
8,1,0,106,106,True
16,1,0,153,153,True
39,1,0,100,100,True
17,1,1,106,105,True
21,1,1,106,105,True
28,1,1,138,137,True
31,1,1,106,105,True
35,1,1,106,105,True
36,1,1,106,105,True
51,1,1,103,102,True
69,1,1,122,121,True
96,1,1,132,131,True
11,1,2,106,104,True
14,1,2,106,104,True
35,2,2,106,104,True
46,1,2,100,98,True
56,1,2,132,130,True
80,1,2,132,130,True
5,1,3,106,103,True
30,1,3,100,97,True
66,1,3,132,129,True
67,1,3,163,160,True
71,1,3,132,129,True
88,1,3,132,129,True
96,2,3,132,129,True
73,1,4,70,66,True
84,1,4,132,128,True
91,1,4,132,128,True
0,1,5,153,148,True
13,1,5,106,101,True
21,2,5,106,101,True
32,1,5,100,95,True
36,2,5,106,101,True
42,1,5,100,95,True
57,1,5,163,158,True
62,1,5,132,127,True
81,1,5,103,98,True
82,1,5,163,158,True
86,1,5,132,127,True
87,1,5,163,158,True
7,1,6,106,100,True
27,1,6,112,106,True
34,1,6,132,126,True
36,3,6,106,100,True
88,2,6,132,126,True
35,3,7,106,99,True
41,1,7,100,93,True
45,1,7,100,93,True
53,1,7,163,156,True
71,2,7,132,125,True
73,2,7,70,63,True
88,3,7,132,125,True
12,1,8,106,98,True
16,2,8,153,145,True
65,1,8,163,155,True
81,2,8,103,95,True
7,2,9,106,97,True
8,2,9,106,97,True
17,2,9,106,97,True
30,2,9,100,91,True
46,2,9,100,91,True
76,1,9,132,123,True
91,2,9,132,123,True
9,1,10,100,90,True
12,2,10,106,96,True
41,2,10,100,90,True
44,1,10,106,96,True
58,1,10,132,122,True
60,1,10,103,93,True
61,1,10,163,153,True
65,2,10,163,153,True
76,2,10,132,122,True
91,3,10,132,122,True
15,1,11,106,95,True
37,1,12,106,94,True
48,1,12,132,120,True
73,3,12,70,58,True
45,2,13,106,93,True
75,1,13,132,119,True
81,3,13,132,119,True
82,2,13,163,150,True
39,2,14,100,86,True
44,2,14,106,92,True
53,2,14,163,149,True
90,1,14,132,118,True
5,2,15,106,91,True
24,1,15,100,85,True
42,2,15,100,85,True
44,3,15,106,91,True
48,2,15,132,117,True
96,3,15,132,117,True
56,2,16,132,116,True
58,2,16,132,116,True
86,2,16,132,116,True
90,2,16,132,116,True
96,4,16,132,116,True
1,2,17,106,89,True
14,2,17,106,89,True
40,1,17,100,83,True
51,2,17,132,115,True
71,3,17,132,115,True
41,3,18,106,88,True
72,1,18,132,114,True
87,2,18,163,145,True
0,2,19,153,134,True
42,3,19,100,81,True
87,3,19,163,144,True
26,1,20,100,80,True
62,2,20,163,143,True
0,3,21,153,132,True
53,3,21,163,142,True
91,4,21,163,142,True
2,1,22,138,116,True
28,2,22,138,116,True
62,3,22,163,141,True
76,3,22,132,110,True
6,1,23,112,89,True
45,3,23,106,83,True
61,2,23,163,140,True
87,4,23,163,140,True
93,1,23,122,99,True
37,2,24,132,108,True
81,4,24,132,108,True
94,1,24,163,139,True
13,2,25,106,81,True
45,4,25,106,81,True
76,4,25,132,107,True
11,2,26,106,80,True
12,3,26,132,106,True
14,3,26,106,80,True
56,3,26,132,106,True
98,1,26,132,106,True
3,1,27,112,85,True
21,3,27,106,79,True
24,2,27,165,138,True
50,1,27,163,136,True
51,3,27,132,105,True
61,3,27,163,136,True
63,1,27,163,136,True
8,3,28,106,78,True
12,4,28,132,104,True
16,3,28,153,125,True
20,1,28,100,72,True
28,3,28,138,110,True
44,4,28,106,78,True
47,1,28,100,72,True
71,4,28,132,104,True
90,3,28,132,104,True
92,1,28,132,104,True
98,2,28,132,104,True
7,3,29,106,77,True
