node_i,node_j,is_inter_cluster
0,1,False
0,2,False
0,3,False
0,4,False
0,5,False
0,6,False
0,7,False
0,8,False
0,9,False
0,10,False
0,11,False
1,2,False
1,4,False
1,5,False
1,6,False
1,7,False
1,8,False
1,9,False
1,11,False
2,3,False
2,4,False
2,5,False
2,6,False
2,7,False
2,8,False
2,9,False
2,10,False
2,11,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
3,10,False
3,11,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
4,10,False
4,11,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
5,11,False
6,7,False
6,8,False
6,9,False
6,10,False
6,11,False
7,8,False
7,9,False
7,10,False
7,11,False
8,9,False
8,10,False
8,11,False
9,11,False
10,11,False
