topology,topology_label,node_count,model,policy,model_label,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,50,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,4.503887346938775,0.3149122740486976,0.2760327786749968,0.09424000000000002,0.004680598252360481,0.004102725260116741,0.09732622504234315,0.004676992622264162,0.004099564785989883
community,Community topology,60,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,4.983512429378532,0.3639225766724278,0.3189922030346796,0.09680000000000001,0.004866837896531085,0.004265971505869313,0.096371328830719,0.004858113057759763,0.004258323847495835
community,Community topology,70,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,5.320788819875775,0.609766755476432,0.5344841269405992,0.09448571428571428,0.0036007368860344353,0.0031561850389354527,0.09452587962150574,0.0041972414409257326,0.0036790443345165293
community,Community topology,80,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,5.578288291139241,0.3155020572473407,0.2765497464420649,0.09584999999999999,0.0028234509027075323,0.0024748638346381775,0.09433730095624923,0.0017289792458583303,0.001515517129166815
community,Community topology,90,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,5.963976279650436,0.5090274010759569,0.4461821895166286,0.09126666666666668,0.004623210364462562,0.0040524225584941875,0.09221169352531433,0.004126588790225115,0.0036171145556517345
community,Community topology,100,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.220329090909091,0.46683190025074855,0.40919620230622133,0.09220000000000002,0.002810693864511038,0.0024636817976353993,0.09275369942188263,0.004146410959873418,0.003634489453419429
community,Community topology,110,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.320234695579651,0.4685573839320736,0.41070865543798096,0.09132727272727273,0.004363446965586679,0.0038247299002566633,0.09161668866872788,0.0027360644383026436,0.00239826622134688
community,Community topology,120,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.491816386554622,0.25829362459153044,0.22640434427465758,0.09188333333333333,0.0028538473057338675,0.0025015074566260165,0.09236651062965393,0.0027668652705684273,0.0024252643411931457
community,Community topology,130,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.344379129397735,0.21629530027875865,0.18959118989771714,0.09267692307692307,0.0021800602564822635,0.0019109070679876672,0.0926475167274475,0.002884505334302215,0.002528380403512519
community,Community topology,140,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.630879958890032,0.192090439626313,0.168374694086244,0.09038571428571429,0.0007653197277702166,0.0006708323188398083,0.09057681411504745,0.001205488011941566,0.0010566568311788686
